[ 2025-02-15 12:42:45,692 ] 20 root - INFO - Initiate the data ingestion
[ 2025-02-15 12:42:47,041 ] 65 root - INFO - Performed train test split on the dataframe
[ 2025-02-15 12:42:47,041 ] 67 root - INFO - Exited split_data_as_train_test method of Data_Ingestion class
[ 2025-02-15 12:42:47,041 ] 75 root - INFO - Exporting train and test file path.
[ 2025-02-15 12:42:47,076 ] 84 root - INFO - Exported train and test file path.
[ 2025-02-15 12:42:47,076 ] 22 root - INFO - Data Initiation Completed
[ 2025-02-15 12:42:47,081 ] 27 root - INFO - Initiate the data Validation
[ 2025-02-15 12:42:47,145 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 12:42:47,145 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 12:42:47,145 ] 32 root - INFO - Required number of columns:2
[ 2025-02-15 12:42:47,145 ] 33 root - INFO - Data frame has columns:31
[ 2025-02-15 12:42:47,240 ] 29 root - INFO - data Validation Completed
